,No Data Processing,No Data Processing,No Data Processing,Normalization,Normalization,Normalization,Transformation,Transformation,Transformation,PCA,PCA,PCA,T+N,T+N,T+N,T+N+PCA,T+N+PCA,T+N+PCA
,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5
Silhouette,0.6857881712617194,0.6857881712617194,0.6857881712617194,0.5817500491982808,0.5817500491982808,0.5817500491982808,0.6857881712617194,0.6857881712617194,0.6857881712617194,0.7103108365955946,0.7103108365955946,0.7103108365955946,0.3654510609382383,0.3654510609382383,0.3654510609382383,0.6145202036230449,0.6145202036230449,0.6145202036230449
Calinski-Harabasz,509.7034266772456,509.7034266772456,509.7034266772456,251.34933946458116,251.34933946458116,251.34933946458116,509.7034266772456,509.7034266772456,509.7034266772456,565.7340515858798,565.7340515858798,565.7340515858798,29.7451567984372,29.7451567984372,29.7451567984372,283.0054876245569,283.0054876245569,283.0054876245569
Davies-Bouldin,0.3885516762710388,0.3885516762710388,0.3885516762710388,0.5933126905762436,0.5933126905762436,0.5933126905762436,0.3885516762710388,0.3885516762710388,0.3885516762710388,0.355059212180561,0.355059212180561,0.355059212180561,0.7416169544831223,0.7416169544831223,0.7416169544831223,0.5439992706606582,0.5439992706606582,0.5439992706606582
