,No Data Processing,No Data Processing,No Data Processing,Normalization,Normalization,Normalization,Transformation,Transformation,Transformation,PCA,PCA,PCA,T+N,T+N,T+N,T+N+PCA,T+N+PCA,T+N+PCA
,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5
Silhouette,0.5553062646081598,0.4916634164720611,0.44963331086592634,0.46297611543567124,0.44200191265766514,0.382714808073683,0.5553062646081598,0.4916634164720611,0.44963331086592634,0.5986022445976247,0.5267591207633967,0.4985257290681208,0.3502984947661145,0.27234792683072323,0.23686799451700657,0.5091683341538228,0.45709328240613956,0.4400942860802477
Calinski-Harabasz,556.1176919037501,467.76231583239655,432.44491756658755,236.88887497963194,175.57872126971697,170.65118254891414,556.1176919037501,467.76231583239655,432.44491756658755,682.5581334068341,584.0736603842696,559.4962655396848,54.95013628075509,47.79143628141834,36.906324152274244,293.8565155630171,261.70739740270494,221.06586622289063
Davies-Bouldin,0.6538599267578227,0.6578898903340331,0.7307592705570021,0.8257164229908825,0.7392436539966103,0.7665728249949123,0.6538599267578227,0.6578898903340331,0.7307592705570021,0.5556643397217124,0.553208035248405,0.594987312805725,1.0216830606839291,1.0879199283423215,1.0294355653333316,0.7099307974801773,0.7231631147819901,0.6495856206266384
