,No Data Processing,No Data Processing,No Data Processing,Normalization,Normalization,Normalization,Transformation,Transformation,Transformation,PCA,PCA,PCA,T+N,T+N,T+N,T+N+PCA,T+N+PCA,T+N+PCA
,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5
Silhouette,0.5543236611296424,0.4889670857554695,0.48438258927906,0.4466890410285909,0.4006363159855973,0.33058726295230545,0.5543236611296424,0.4889670857554695,0.48438258927906,0.598475035370544,0.5409772344736484,0.5487843719847737,0.2967220094835644,0.2731663988649229,0.2599032266669653,0.511059598876619,0.4487350420958893,0.4041689631006269
Calinski-Harabasz,558.0580408128307,515.0789062430442,488.48490403651624,222.71916382215363,201.2514543140406,192.68128271764127,558.0580408128307,515.0789062430442,488.48490403651624,688.6175478020368,673.9462643465865,665.8831120635566,50.3788405635231,43.31141294740714,39.70620767276394,286.32866402202313,254.09009362811253,254.99619590904916
Davies-Bouldin,0.6562564540642049,0.7952637917518263,0.820416660964643,0.8034665302876753,0.9788214982592802,0.9742492313121822,0.6562564540642049,0.7952637917518263,0.820416660964643,0.5604962418488774,0.6546236191154585,0.6525734875175688,1.1118117416720883,1.1880960396699887,1.1656417646366004,0.7054295488547574,0.7226122812847586,0.7912503236414694
