,No Data Processing,No Data Processing,No Data Processing,Normalization,Normalization,Normalization,Transformation,Transformation,Transformation,PCA,PCA,PCA,T+N,T+N,T+N,T+N+PCA,T+N+PCA,T+N+PCA
,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5
Silhouette,0.5511916046195922,0.4976433179321928,0.4930804067193526,0.4798814508199817,0.3850454053045391,0.34503345350274617,0.5511916046195922,0.4976433179321928,0.4930804067193526,0.597676421954799,0.5577409232246783,0.5100407194899204,0.35363987127584295,0.304964919540071,0.2582619681166252,0.5227910941742375,0.44518709742154233,0.41108506287108587
Calinski-Harabasz,561.5937320156642,529.5290949944819,495.24341371472735,157.36015312192248,206.68060327399544,202.6358498107429,561.5937320156642,529.5290949944819,495.24341371472735,693.7084334188473,719.123544048865,642.0606658009178,55.559953612379516,47.396571940838115,43.52821014728393,180.97545995800118,263.8840453466016,278.4513952839225
Davies-Bouldin,0.6660385791628457,0.7541404230958441,0.8193844948350408,0.7893630242997912,0.8697790001760977,0.9438937421182807,0.6660385791628457,0.7541404230958441,0.8193844948350408,0.5648157434964137,0.6150686747805243,0.7525002644783102,1.0276057480878469,1.109049898871075,1.1404798221195942,0.7391260626029994,0.7446689889268581,0.7802925992541692
